HCA6002236,5.467240879812752,3.765742882249735,2.04039352259083
HCA6010538,5.579653696830714,4.208294301676927,2.927627032039459
HCA6018857,5.474408923193145,3.964189560347328,2.8307018019836314
HCA6030645,5.419361496834029,3.910951290775357,2.483406599857619
HCA6047359,5.605821542219514,4.26120631770899,3.286377416573964
HCA6051047,5.496173356883558,3.551425262261588,2.4934003970850585
HCA6053758,5.401373506201797,4.231567650933132,2.863533547044633
HCA6054457,5.488859718158855,3.765844124148877,2.3408702816174416
HCA6058970,5.60338053121002,3.990118604702562,3.314790112016893
HCA6061757,5.523634794438428,4.015991853813723,2.726780188063385
HCA6062456,5.531130052200322,4.1091824198596285,3.362506402510311
HCA6075263,5.532977607633258,3.927933141582836,2.5631350003805062
HCA6086369,5.52843990584344,3.966779735191986,3.174311362497949
HCA6086470,5.492362937186437,4.00825697854699,3.1009801657843177
HCA6086975,5.662498777874568,3.952195830156188,3.030349186414873
HCA6089375,5.552192331333076,3.9174830829172542,2.776691703401094
HCA6091766,5.486391473222173,3.737567928774275,2.569459738990568
HCA6095572,5.519499895047292,3.738368319001852,3.0482593877198068
HCA6098073,5.637372281670226,4.484099752217424,3.075219189833739
HCA6102038,5.373744064109686,4.286633663654549,2.767477251570562
HCA6108050,5.530934228078894,3.935605011126249,3.4945720431374103
HCA6108151,5.505502544116389,3.9930757959921968,2.897909504418745
HCA6109658,5.503961312502314,3.785926164803312,3.3546837090824204
HCA6110138,5.323206568724452,3.757573951649301,2.4910001964976227
HCA6111241,5.5887355552078,4.056859229711088,3.5624000853331674
HCA6117051,5.520405285312356,4.157747195417899,3.4710713824734145
HCA6119257,5.4433828833281135,4.145037994909539,2.705174345611185
HCA6120646,5.35801389067906,3.711775512108696,2.992975570690851
HCA6125050,5.352693453624217,4.2022642905505885,3.216147124993545
HCA6130548,5.457154966519063,4.16932485500944,2.325870809766731
HCA6131449,5.580519639265859,4.070690447162755,3.4371269169136838
HCA6139970,5.439378915538512,4.179906930842629,3.051687285404568
HCA6143557,5.433765529389016,3.686137172636824,2.6958412897756774
HCA6144357,5.689553064882909,4.366858265401451,4.721422354996013
HCA6144862,5.47469661335066,3.870325100572598,2.215882695598592
