codes,entropy Von Neumann
100206,4.730540127529432
100307,5.0979298787133365
100408,4.2250053595044355
100610,4.6443755872431325
101006,4.960432990365049
101107,4.171962033758052
101309,4.759035221060527
101410,5.007355699709887
101915,4.528457121059537
102008,4.314276289713491
102109,4.028947597576385
102311,4.580166617816429
102513,4.6506944642171755
102614,5.007056226761483
102715,4.764625163372516
102816,4.722346411725893
103010,4.373745528412678
103111,5.00814299517164
103212,4.753328099406531
103414,5.070934979677871
103515,4.764195541792521
103818,4.724841191188585
104012,4.947130999780221
104416,4.622215443342295
104820,4.9004206410121895
105014,4.851121982503033
105115,5.048908028460203
105216,4.713071427784705
105620,4.830949418080499
105923,4.303597949399604
106016,4.7357776872768245
106319,3.7198346983858803
106521,5.05047216628301
106824,4.5896345177162985
107018,4.659461574937479
107220,4.8748666686627455
107321,4.9818322410334535
107422,4.166162176680443
107725,4.91792496455907
108020,4.591243682314365
108121,4.756550214453577
108222,4.249479050268333
108323,4.6649852217140255
108525,4.554914772905606
108828,4.389004138318307
109123,4.55399684775931
109325,4.806364998287024
109830,5.126952784558257
110007,5.111034122745635
110411,4.276502211229477
110613,4.103875410643588
111009,4.801984970249213
111211,4.436077841118816
111312,4.7411573923288
111413,4.79243985446157
111514,5.089974786796513
111716,5.044173705773286
112112,4.098623639583472
112314,4.629288028997585
112516,4.962505677160368
112819,5.03955812561166
112920,3.858082645064356
113215,4.394147863117625
113316,4.952695087356204
113417,4.933887228501566
113619,4.628054960366303
113821,5.064258555316352
113922,4.62882353002835
114116,4.821210469628074
114217,4.640063377808737
114318,4.505351978030692
114419,4.23276476265738
114621,4.6941494674044595
114823,4.628130118555079
114924,4.847458503648662
115017,4.8106014503078205
115219,4.778348099061862
115320,5.001163478663176
115724,4.858853289371547
115825,4.580337805625593
116221,4.631989825844538
116423,4.570440521945483
116524,4.535456574492246
116726,4.9640299327016635
117021,4.619522929382317
117122,4.640407887010129
117324,4.717360731389462
117728,4.300671776955026
117930,4.930580007605995
118023,4.215975295212921
118124,5.295299527193839
118225,4.642479622348675
118528,4.840024108742056
118730,5.132487203115279
118831,4.5405352523242275
118932,4.697853950771449
119025,4.950382105480116
119126,4.882789952576322
119732,4.532421834665785
119833,4.6138111687691685
120010,4.6783384603668825
120111,4.82324845757528
120212,5.035233304380908
120414,4.562173131989798
120515,5.095475372406049
120717,4.612406808632922
121315,4.7536191218941894
121416,4.4713622031226
121618,5.0888830893081884
121719,4.685901966641388
121921,4.567302754487232
122317,4.754635210349556
122418,4.604421142042518
122620,5.036162063310772
122822,4.970358782344679
123117,5.115674144941744
123420,4.83185120250482
123521,4.739084678502078
123723,4.9093450602362525
123824,4.344795265369342
123925,4.685028576192773
124220,4.971294326116155
124422,4.3884868336928875
124624,4.449340537942984
124826,5.030185731372814
125222,4.8121917727535255
125424,4.273138033221348
125525,4.8399289373627905
126325,4.892556426555593
126426,5.241376529134853
126628,4.331634772734157
127226,4.457849979902167
127327,4.848334347458167
127630,4.700424767448322
127731,4.796999271605548
127832,4.242317793386244
127933,4.920548196940558
128026,4.6479721583704325
128127,4.677340191182277
128329,4.9574151915863105
128632,4.1459193839862785
128935,5.024012321664774
129028,4.691053029599977
129129,4.794507180952673
129331,4.758460497928176
129533,5.1056949758600005
129634,4.656575657187387
129937,4.882774879093421
130013,4.908596187532147
130114,4.751819917750716
130316,4.609618775838795
130417,4.6366222115366895
130518,4.719560663253657
130619,4.325150844173366
130720,4.199894596280762
130821,4.511618170378163
130922,4.927470039898965
131217,4.8298101952151695
131419,4.9622679319919705
131722,4.652910838392902
131823,4.3158022359727095
131924,4.868843209316718
132017,4.548038961645199
132118,4.9245666416533895
133019,4.2621832151168135
133625,4.702861688365096
133827,3.5891657328696516
133928,4.092111958647168
134021,4.598676443507509
134223,4.6158815479782955
134324,4.7955052409702565
134425,4.978902115139169
134627,4.66587570116754
134728,4.820956910089224
134829,4.294286495476326
135124,4.316594224470635
135225,4.571894859504622
135528,5.070960243203106
135629,4.545186524307752
135730,4.288047128973572
135932,4.172313734164042
136126,4.832020512152852
136227,4.943723549523012
136631,4.683116454058695
136732,5.08487087405021
136833,4.413020867270525
137027,4.724166833412389
137128,4.749740985405031
137229,5.019866463146707
