codes,entropy Von Neumann
100206,4.504633959403863
100307,4.978546239848405
100408,3.90173983270082
100610,4.430463035278491
101006,4.799771242487892
101107,3.8516816581332547
101309,4.580135283281839
101410,4.813104977635083
101915,4.220074510780748
102008,3.9753268215024065
102109,3.741307280376141
102311,4.341991449083771
102513,4.3829864684507545
102614,4.882310723373983
102715,4.59500474822673
102816,4.53153070252754
103010,4.112954306703792
103111,4.856739825619026
103212,4.561152105054367
103414,4.903517543381089
103515,4.497468710741076
103818,4.475553762911126
104012,4.81235441663682
104416,4.393742387377705
104820,4.723898364730136
105014,4.625256504103023
105115,4.929390063372486
105216,4.506007763194476
105620,4.616095208420602
105923,3.993331760378887
106016,4.550933614582103
106319,3.418309278494169
106521,4.910378230792871
106824,4.33935291174712
107018,4.383220059850204
107220,4.689588237464436
107321,4.826171793372405
107422,3.8611340612045586
107725,4.7415921258060445
108020,4.368783260453192
108121,4.522085005076542
108222,3.898260766495553
108323,4.414863995634558
108525,4.358577859983832
108828,4.178994834018085
109123,4.2900292400130535
109325,4.619888959109236
109830,4.9689331933445136
110007,4.957405983483143
110411,3.9968347619897435
110613,3.823607023585047
111009,4.67687614677786
111211,4.225055469782049
111312,4.476839723679403
111413,4.620833950641993
111514,4.917903167390822
111716,4.859793774094871
112112,3.7567261044966878
112314,4.398055308565675
112516,4.736423033548952
112819,4.898770870356857
112920,3.536329423953933
113215,4.164364792025316
113316,4.7502880189232695
113417,4.752161342253983
113619,4.399409826545423
113821,4.910191236638377
113922,4.3779279658156245
114116,4.564780856192359
114217,4.418881277409376
114318,4.268137611867146
114419,3.96732059581024
114621,4.463113542865985
114823,4.399969462148318
114924,4.622028100626568
115017,4.631123048901833
115219,4.542945299831257
115320,4.8387263346409295
115724,4.681534974963452
115825,4.349607415832971
116221,4.5364201849552375
116423,4.361767887391997
116524,4.238657298101133
116726,4.817093111164855
117021,4.417931713965062
117122,4.416173855319988
117324,4.54764194133132
117728,4.053309900549184
117930,4.760772919551349
118023,3.9552040857504718
118124,5.226109855931111
118225,4.430116257841321
118528,4.65546080326835
118730,5.020970810823853
118831,4.276514381461322
118932,4.505172924763293
119025,4.785394444142037
119126,4.683904228027033
119732,4.327822645285183
119833,4.382061388477867
120010,4.464853440597774
120111,4.654399150711036
120212,4.858155489406881
120414,4.302529785530417
120515,5.002400636103472
120717,4.314776819795691
121315,4.5536794062720976
121416,4.277656137083728
121618,4.92462362392539
121719,4.404874672070996
121921,4.3457648308707855
122317,4.5376725679207475
122418,4.3584331084179
122620,4.870136739867641
122822,4.826077423739321
123117,4.986939903622147
123420,4.62630400016838
123521,4.515773037501278
123723,4.689544690687731
123824,4.094942254440715
123925,4.468813711533336
124220,4.77680273244092
124422,4.198381820956627
124624,4.199081146936348
124826,4.887378145949938
125222,4.623970158621567
125424,3.994188854868119
125525,4.646637414578002
126325,4.67463940517653
126426,5.126214723005674
126628,4.113984605024107
127226,4.243249465174648
127327,4.654388683747181
127630,4.488093959543564
127731,4.65603337047399
127832,4.01031512064648
127933,4.766082518307925
128026,4.406038864001374
128127,4.467230332546563
128329,4.790102386178035
128632,3.8083340211312935
128935,4.8791031331896795
129028,4.508768374429357
129129,4.565856249861501
129331,4.518314177725436
129533,4.977435098036801
129634,4.3425335423753735
129937,4.659008512667422
130013,4.727926269878133
130114,4.551808201416253
130316,4.393046798983988
130417,4.441261813727465
130518,4.531643222368501
130619,4.031470386025989
130720,3.9031342008348426
130821,4.319905874264727
130922,4.762681327995811
131217,4.665302779077967
131419,4.756389549657118
131722,4.374268549922571
131823,4.038082971455621
131924,4.645771731633439
132017,4.298043789244074
132118,4.7264104467979084
133019,3.919470867886199
133625,4.544394515314487
133827,3.2378379457444915
133928,3.831587373899304
134021,4.282996778354696
134223,4.376481662134916
134324,4.589673477420017
134425,4.784077978278271
134627,4.455918060475213
134728,4.593341143727702
134829,4.101601834444792
135124,4.021885199136978
135225,4.302599525637524
135528,4.938269514166358
135629,4.2909304501121674
135730,4.011405166398133
135932,3.926551332070783
136126,4.615644228964404
136227,4.813774868232924
136631,4.4802775627816676
136732,4.9263016022093975
136833,4.097917980655516
137027,4.515948264753197
137128,4.5523958816797006
137229,4.847970412062536
137431,4.076878779022285
137532,4.150889209269936
137633,4.559700619395251
137936,4.480457810490597
138130,4.697568286769616
138231,5.03409652183555
138332,4.490607791185708
138534,4.125825725203467
138837,3.412949323909885
139233,4.878943971303025
139435,4.582892850615209
139637,4.163584419637752
139839,4.759640514268265
140117,4.564688357155266
140319,4.689212142188908
140420,4.111833812967937
140824,4.281171336921492
140925,4.011639767346494
141119,4.2924093088782485
141422,4.780235684896736
141826,4.811871905754004
142424,5.296202438225308
142828,3.735309036618643
143224,3.8932138532224703
143325,4.544117814965723
143426,4.653493877061678
143830,4.56912040083864
144125,3.824683187673878
144226,4.681562452796185
144428,4.1606119096967555
144731,4.060349432581678
144832,4.991568978268091
144933,4.559861900406952
145127,4.984111541163061
145531,4.713857789567257
145632,4.8112539445240206
145834,4.437473502012024
146129,4.183996027651845
146331,5.005004732459167
146432,4.0607243929655095
146533,4.535262911121291
146634,4.54007068549199
146735,5.1775628217596825
146836,4.389888950785345
146937,5.103322927989366
147030,4.668010543000674
147636,4.311059677330448
147737,4.919047925835965
148032,4.4310038181814955
148133,4.651737846715028
148335,5.186598733019804
148436,4.642831708869375
148840,4.456435464131673
148941,4.790397828934819
149236,4.765889820520121
149337,4.802050962351036
149539,4.641001266632029
149741,4.801422544104051
149842,4.258196550371373
150423,4.718075888549359
150524,4.554182910965494
150625,4.341225297373771
150726,4.426044833934196
150928,3.8925368262956974
151021,4.646326222771923
151223,4.395897718671819
151324,4.424566680127216
151425,4.7338362385563135
151526,4.505104300930567
151627,4.982047654084569
151728,4.534552512319675
151829,4.733105742312478
151930,4.403538604629151
152225,4.226788926757829
152427,4.139458396938586
152831,4.651541932866548
153025,4.117586760461359
153126,4.830839588745073
153227,4.845760230763763
153429,4.458536176511929
153631,4.449107824567998
153732,4.325454544425057
153833,4.267300908037878
153934,4.28887836747215
154229,4.483875526138863
154330,4.128480755925437
154431,4.541730712626726
154532,4.5471792576409165
154734,4.47279382855154
154835,4.958767434054284
154936,4.611089271022321
155231,4.780162111976598
155635,4.824461495551236
155938,3.902613553062504
156031,4.561111763345759
156233,4.272996295237061
156334,4.918035987178383
156435,3.6346292945584278
156536,4.151409100450085
156637,4.329395601006161
157336,4.703376102924918
157437,3.993935984337504
157942,4.216071032954778
158035,4.787226892142687
158136,4.7956173268571
158338,4.673503094112484
158540,4.033386380926654
158843,4.60402970982776
159138,3.9964722064305724
159239,4.960087818916225
159340,4.678413598881217
159441,4.3700815025775235
159744,4.745086369391081
159845,4.48330820653862
159946,4.98582357317384
160123,4.5059435315472
160729,4.610385340929533
160830,4.582512499273477
161327,4.787788854222018
161630,4.485948595351639
161731,4.489285546390123
161832,3.9592251457023755
162026,4.299818372200272
162228,4.582788755906504
162329,4.237228658084659
162733,4.381754461057121
162935,4.625124564412328
163129,4.456897764349846
163331,4.788209539279066
163432,4.675786418422314
163836,5.166914288614263
164030,4.896837291280993
164131,4.496983900193973
164636,4.74349841345353
164939,4.759807056204389
165032,4.442798692397647
165234,4.015237910376177
165436,4.726673648625288
165638,4.475009581931811
165840,3.862976248243374
165941,5.169976982357532
166438,4.4228449595348245
166640,3.746004566353176
167036,4.683120091337379
167238,4.036384448074849
167440,4.810931031114757
167743,4.438060871630457
168139,4.547996091945218
168240,4.666539684090562
168341,4.352479633595504
168745,4.804163324786899
168947,4.954991774687214
169040,4.058732696463493
169141,4.479569001513402
169343,4.659240085130989
169444,4.564287451068764
169545,4.004745722463978
169747,4.3590843834084545
169949,4.738566140994938
170631,3.4417721139392397
170934,4.828438160758509
171128,4.886739309091624
171330,4.599740720829821
171431,4.948579901082122
171532,5.037537760391488
171633,4.9112535701516045
171734,4.2297613922412305
172029,4.854884357618815
172130,4.135037855795472
172332,4.991804823420953
172433,4.266638569783259
172534,4.0946184231309
172635,4.4447835975607735
172938,4.9025776097652765
173132,4.226227727320903
173334,3.886428756305852
173435,4.371771907698334
173536,4.2702328497519275
173637,4.128769438826188
173738,3.7713220212334475
173839,4.426806498583446
173940,4.7689533796606
174437,4.658451460110184
174841,4.821333617742478
175035,4.074441224836386
175136,4.804707326334316
175237,4.649221782014539
175338,4.365406503699173
175439,4.895718487159417
175540,3.963979715650089
175742,5.031735490831928
176037,5.065759657250711
176239,4.328509006617109
176441,4.318198129270016
176542,4.36695634344805
176744,4.550557966442316
176845,4.3618787685575064
177140,4.531528528502619
177241,3.862809168332563
177342,4.601036221225784
177645,4.664242647061612
177746,4.830988384899344
178142,4.77087062528047
178243,4.343093429160733
178647,4.644126135421051
178748,4.203963201130476
178849,4.469969978148769
178950,4.757619675677729
179245,4.192660641847796
179346,4.701215230810315
179952,4.309995359568356
180129,4.9057670479399444
180230,4.37763969108542
180432,4.734926450966257
180533,4.332847515930163
180735,4.100255461525505
180836,3.7044962579318055
180937,4.668485527210145
181131,4.541168389730638
181232,4.781415650309087
181636,4.491227456925303
182032,4.038288565402436
182436,4.618160117686955
182739,4.431497453110606
